dataset,sample,poisson_ratio,matrix_error,action_error,rayleigh_error,rigid_residual,affine_residual,symmetry_residual,psd_violation,modal_share_1,modal_share_2,modal_share_3,modal_share_4,modal_share_5
parameter hold-out,44,0.36,0.00015435266820269463,0.00011810213795596215,0.0010794637587322456,1.2289669627399196e-16,2.2482938664221668e-08,0.0,0.0,0.9918938232462031,0.9518720422560762,0.04576980156700733,0.00868726330072766,0.0018024424058069289
parameter hold-out,45,0.40,9.423473941251547e-05,7.204163040506509e-05,0.000938230523014578,1.6037062975095638e-16,3.041730343886062e-08,0.0,0.0,0.9909400243532566,0.9041760783609072,0.07289450739974004,0.030788140164453175,0.0012683938237096782
parameter hold-out,46,0.44,4.8793427000631385e-05,4.8914658584988336e-05,0.0006457926251282164,1.9972334887569217e-16,3.0994786060594155e-08,0.0,0.0,0.9896367991042944,0.8147652859949932,0.1607021099430323,0.034235636511825186,0.0007522247738313721
parameter hold-out,47,0.46,2.8743896202117088e-05,2.257907752796706e-05,0.0006548024244491836,1.4942713557589875e-16,2.5576447031656173e-08,0.0,0.0,0.9886430709396201,0.700687157470209,0.29488313360232005,0.015364938945888152,0.0005007689810387716
parameter hold-out,48,0.48,3.3488364025639265e-05,3.019408128544269e-05,0.0011335282769755247,3.58768389526449e-16,2.3378335551470363e-08,0.0,0.0,0.9871810741117555,0.5736004236422424,0.42549495337269116,0.013352065016981352,0.00025203522089995453
parameter hold-out,49,0.49,1.359440929940038e-05,1.2163651063043007e-05,0.0006779664458947669,3.2479265314828763e-16,2.5420036114605808e-08,0.0,0.0,0.9857873911820582,0.731312326724675,0.2685921766538694,0.014035381737829773,0.00012794458795697497
parameter hold-out,50,0.20,0.00023700138616741616,0.00029705471098787073,0.0010632749931968305,1.9099001208813407e-16,3.374743868438329e-08,0.0,0.0,0.983249294509377,0.9699166898421554,0.028422363059379032,0.016167820693030036,0.002191264299764152
parameter hold-out,51,0.24,6.65522400702698e-05,7.905748026564248e-05,0.00037685397500222004,2.0303683637134098e-16,3.356745722630488e-08,0.0,0.0,0.9799033910316555,0.9712440755490844,0.02782004118248889,0.019028879427614907,0.00198505984061894
parameter hold-out,52,0.28,7.95637693365195e-05,8.782799609547856e-05,0.0003276499021510681,1.098909834524722e-16,2.8591175791484418e-08,0.0,0.0,0.9742507583391893,0.972074611657382,0.028410101491534213,0.023525924503863104,0.0017458650332231424
parameter hold-out,53,0.32,6.92254891569301e-05,7.789103249681236e-05,0.00035447974512332577,1.5198049188824677e-16,2.480007365104816e-08,0.0,0.0,0.9723589080470836,0.9634540355698636,0.031438160414160185,0.03129145733937927,0.001477543124793003
parameter hold-out,54,0.36,7.16918734257076e-05,7.584300626082489e-05,0.00048093183257429497,1.4822292852238615e-16,2.9865111019364055e-08,0.0,0.0,0.9719635125049605,0.9372550362302661,0.0480869796213822,0.04153270014490418,0.0011851190870403488
parameter hold-out,55,0.40,3.0420303595601367e-05,3.14766820707318e-05,0.00029809907355485374,1.025437754378282e-16,2.4745351637992194e-08,0.0,0.0,0.9705813274392954,0.8182973370270316,0.11434271433801901,0.09591667119784082,0.000872925477681034
parameter hold-out,56,0.44,2.6793496311323683e-05,1.969813030473645e-05,0.0003160607265775409,1.541081099454744e-16,3.237482472710748e-08,0.0,0.0,0.9675543036974217,0.5893126120472504,0.3211074905285323,0.12141189628412942,0.0005425777015192419
parameter hold-out,57,0.46,3.819906775962967e-05,3.267533272184806e-05,0.0004446412755642054,2.2228583240752205e-16,2.6899843455063636e-08,0.0,0.0,0.9648585228376003,0.6190606597724274,0.36005410867374354,0.05551841385880242,0.0003698462473961175
parameter hold-out,58,0.48,2.575206033827079e-05,1.8815957812738372e-05,0.0007377991327506855,2.559935601402782e-16,2.8209995963350083e-08,0.0,0.0,0.9605702133293866,0.8531494958148853,0.14239581429186782,0.04366072048270627,0.00019001733639599895
parameter hold-out,59,0.49,2.1815048610103742e-05,2.085981989825872e-05,0.0008881040645102992,3.676790224887828e-16,2.801039489253612e-08,0.0,0.0,0.956958798120418,0.9118925306075155,0.08754886745920919,0.04341249317947527,9.68032055586093e-05
parameter hold-out,60,0.20,0.00040533645766828826,0.00047497861167012447,0.0023201723342903134,1.1069912256839707e-16,3.440322066590053e-08,0.0,0.0,0.947640244694565,0.791771246713463,0.1714075229453564,0.0722794456737498,0.016589816595360594
parameter hold-out,61,0.24,0.0001859387636327736,0.00018464679183224849,0.0009430126089006496,9.915981774867955e-17,4.1332588447042726e-08,0.0,0.0,0.9475255194502976,0.7930811674058954,0.16184067154258797,0.08249312025585398,0.015044987869599033
parameter hold-out,62,0.28,8.231269055198373e-05,8.41201481767702e-05,0.0004827671700570307,1.8443747616506629e-16,2.6665176191962667e-08,0.0,0.0,0.9468258371737566,0.7715722010626915,0.17092691182813496,0.09746069846747273,0.013299746842014095
parameter hold-out,63,0.32,4.7094773986380236e-05,5.129854769598016e-05,0.0003962276206902246,1.3086903820445895e-16,3.3302860330113163e-08,0.0,0.0,0.9454756428174944,0.6799697092348066,0.2421056306311579,0.12113925054627246,0.011365692902853162
parameter hold-out,64,0.36,9.355381772679043e-05,9.029134704988818e-05,0.0008409003902363962,1.531680173322258e-16,3.35073599286058e-08,0.0,0.0,0.9432980712697666,0.6152577853703791,0.26949536863967727,0.162682237656067,0.009255370803752607
parameter hold-out,65,0.40,0.00015023323040690438,0.00013960452459516105,0.001317977548434775,1.6541181741134582e-16,3.321325807761794e-08,0.0,0.0,0.9398398033159068,0.7451458486550145,0.24582332576928584,0.06236102206188712,0.00697186304040283
parameter hold-out,66,0.44,9.114617893569556e-05,9.192908255227397e-05,0.0008171319158040323,1.6994972586871444e-16,2.7242909062541944e-08,0.0,0.0,0.9348923842174266,0.5773820842857184,0.4285779520364789,0.05509732848330291,0.004478051928004853
parameter hold-out,67,0.46,9.011892938851341e-05,7.123973347357903e-05,0.0016383253367016363,2.273522730834784e-16,3.0176925578106146e-08,0.0,0.0,0.9307495615044145,0.5757962950290777,0.43242380698497473,0.058104935000092096,0.0031214766499093466
parameter hold-out,68,0.48,0.00013213867455400455,0.00012289719259614467,0.002834946395290372,1.998701075691344e-16,2.6618456240776425e-08,0.0,0.0,0.9243618386096125,0.7358142510669273,0.27513936676772577,0.06361925448530399,0.0016548519782883754
parameter hold-out,69,0.49,7.363735427615503e-05,6.606835768072346e-05,0.0033598421024443933,5.1644717538453e-16,2.541271865029416e-08,0.0,0.0,0.917963373482312,0.8065328658797056,0.20574959514072577,0.06922485167278306,0.000861159735788528
