id,source_id,source_level,level,mesh_size,elements,field_relative_l2,flux_relative_error,operator_seconds,assembly_seconds,linear_solve_seconds,normalized_elements
E15,BE15,h0.080,L1,0.08,662,0.0025672025778695077,0.010153980711383827,0.010602400001516799,0.010234099998342572,0.006208200000401121,0.13433441558441558
E15,BE15,h0.056,L2,0.056,1294,0.0013213052312992877,0.006534272714057365,0.023305200000322657,0.01986350000152015,0.01404980000006617,0.26258116883116883
E15,BE15,h0.040,L3,0.04,2438,0.0005095322400407601,0.0008030293605957038,0.048303600000508595,0.038787699999375036,0.035870199997589225,0.494724025974026
E15,BE15,h0.028,L4,0.028,4928,0.0005502094604501572,0.0026546954048269123,0.09870339999906719,0.07836260000112816,0.08386660000178381,1.0
E16,BE16,h0.080,L1,0.08,526,0.0032078371612615183,0.023031103125074816,0.007707499997195555,0.008382500000152504,0.004917800000839634,0.15384615384615385
E16,BE16,h0.056,L2,0.056,976,0.001573176916161861,0.01199507760370039,0.016460599999845726,0.01615690000107861,0.009481699999014381,0.285463585843814
E16,BE16,h0.040,L3,0.04,1821,0.0008620046640077664,0.005420050268163527,0.03546039999855566,0.02857919999951264,0.020419799999217503,0.532611874817198
E16,BE16,h0.028,L4,0.028,3419,0.00041850144947982825,0.002105164853515452,0.06611089999933029,0.054550699998799246,0.059742699999333126,1.0
E17,BE17,h0.080,L1,0.08,577,0.003402228228844325,0.024664564812507343,0.007907100000011269,0.008893099999113474,0.005511500003194669,0.1660431654676259
E17,BE17,h0.056,L2,0.056,996,0.002122226753749035,0.01360628109923379,0.017433299999538576,0.015829299998586066,0.010992999999871245,0.2866187050359712
E17,BE17,h0.040,L3,0.04,1766,0.0015335271611488339,0.006879796112281313,0.04057520000060322,0.02880150000055437,0.021479300001374213,0.5082014388489209
E17,BE17,h0.028,L4,0.028,3475,0.0004971191126266395,0.0024983005632239017,0.07260189999942668,0.05684090000067954,0.04439439999987371,1.0
E18,BE18,h0.080,L1,0.08,582,0.003385463950320389,0.026403932916470606,0.00793350000094506,0.008931599997595185,0.007759799998893868,0.17326585293242036
E18,BE18,h0.056,L2,0.056,906,0.0020678282808266907,0.015227753273261596,0.015415699999721255,0.014119799998297822,0.009762300000147661,0.26972313188448943
E18,BE18,h0.040,L3,0.04,1651,0.0009530992260825145,0.00733430108504828,0.03320779999921797,0.02551359999779379,0.025157200001558522,0.49151533194403096
E18,BE18,h0.028,L4,0.028,3359,0.0007402778770714267,0.004076316111151588,0.06527490000007674,0.05979650000153924,0.05240030000277329,1.0
E19,BE19,h0.080,L1,0.08,597,0.004009566208582067,0.02939415602987225,0.008814500000880798,0.00993209999796818,0.005813499999931082,0.16974694341768554
E19,BE19,h0.056,L2,0.056,987,0.0020218177620119192,0.01758596317452464,0.01702159999695141,0.015919000001304084,0.01571979999789619,0.2806369064543645
E19,BE19,h0.040,L3,0.04,1732,0.0011619048916018764,0.008431840438751627,0.034110799999325536,0.031011899998702575,0.022661899998638546,0.49246516917827693
E19,BE19,h0.028,L4,0.028,3517,0.0008713017976473671,0.002772226134165586,0.0706648999985191,0.05915860000095563,0.0574239999987185,1.0
E20,BE20,h0.080,L1,0.08,554,0.0029675999559885973,0.02808457427047867,0.008520499999576714,0.00845389999813051,0.004877499999565771,0.19645390070921986
